,Unit,Session,Type,Description,Weight,Due,Length,School
4,GEOS3803,2024-S1C-ND-CC,Assignment,Laboratory Assignment 4,12%,8 Apr 2024,"Module 2, Practical 1",Geosciences Academic Operations
5,GEOS3803,2024-S1C-ND-CC,Assignment,Laboratory Assignment 5,12%,2 May 2024,"Module 2, Practical 2",Geosciences Academic Operations
6,GEOS3803,2024-S1C-ND-CC,Assignment,Laboratory Assignment 6,6%,4 May 2024,"Module 2, Practical 3",Geosciences Academic Operations
0,GEOS1003,2024-S1CIFE-BM-CC,Participation,Lecture Attendance,0%,Ongoing,12 sessions over 6 weeks,Geosciences Academic Operations
1,GEOS1003,2024-S1CIFE-BM-CC,Small continuous assessment,Practical Exercises,0%,Ongoing,12x 3 hr sessions in 6 weeks,Geosciences Academic Operations
2,GEOS1003,2024-S1CIFE-BM-CC,Online task,Online Self-test Quizzes,0%,Ongoing,10 Lecture self-test quizzes,Geosciences Academic Operations
3,GEOS1003,2024-S1CIFE-BM-CC,Online task,Pre-practical Class Online Quizzes,0%,Ongoing,10 self-test quizzes over 6 weeks,Geosciences Academic Operations
4,GEOS1003,2024-S1CIFE-BM-CC,Online task,Trial Exams,0%,Ongoing,Variable,Geosciences Academic Operations
5,GEOS1003,2024-S1CIFE-BM-CC,Tutorial quiz,Online Quiz 1,5%,5 Jan 2024,30 minutes - 10 MCQs,Geosciences Academic Operations
6,GEOS1003,2024-S1CIFE-BM-CC,Tutorial quiz,Online Quiz 2,5%,1 Feb 2024,30 minutes - 10 MCQs,Geosciences Academic Operations
7,GEOS1003,2024-S1CIFE-BM-CC,Tutorial quiz,Online Quiz 3,5%,8 Feb 2024,30 minutes - 10 MCQs,Geosciences Academic Operations
8,GEOS1003,2024-S1CIFE-BM-CC,Tutorial quiz,Online Quiz 4,5%,5 Feb 2024,30 minutes - 10 MCQs,Geosciences Academic Operations
9,GEOS1003,2024-S1CIFE-BM-CC,Tutorial quiz,Rock Identification Quiz,20%,2 Feb 2024,1 & 1/2 hrs,Geosciences Academic Operations
10,GEOS1003,2024-S1CIFE-BM-CC,,Final Exam,60%,1 Mar 2023,3 hours,Geosciences Academic Operations
0,GEOS2114,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Geosciences Academic Operations
1,GEOS2114,2024-S1C-ND-CC,Assignment,Practical reports,20%,Multiple weeks,Varies per report,Geosciences Academic Operations
2,GEOS2114,2024-S1C-ND-CC,Assignment,Field trip,15%,Week 07,5 Hours,Geosciences Academic Operations
3,GEOS2114,2024-S1C-ND-CC,Tutorial quiz,Quiz,10%,Week 09,10-12 questions,Geosciences Academic Operations
4,GEOS2114,2024-S1C-ND-CC,Assignment,Pathways to Sustainability,15%,8 Apr 2024,4 Hours of class time,Geosciences Academic Operations
0,GEOS2914,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Geosciences Academic Operations
1,GEOS2914,2024-S1C-ND-CC,Assignment,Practical reports,20%,Multiple weeks,Varies per report,Geosciences Academic Operations
2,GEOS2914,2024-S1C-ND-CC,Assignment,Field trip,15%,Week 07,5 Hours,Geosciences Academic Operations
3,GEOS2914,2024-S1C-ND-CC,Tutorial quiz,Quiz,10%,Week 09,10-12 questions,Geosciences Academic Operations
4,GEOS2914,2024-S1C-ND-CC,Assignment,Pathways to Sustainability,15%,8 Apr 2024,4 hours of class time,Geosciences Academic Operations
0,GEOS3101,2024-S1C-ND-CC,Assignment,Formative 1,6%,8 Mar 2024,4 - 6 hours,Geosciences Academic Operations
1,GEOS3101,2024-S1C-ND-CC,Assignment,South Coast Excursion Field Report,22%,5 Apr 2024,6 -8 pages,Geosciences Academic Operations
2,GEOS3101,2024-S1C-ND-CC,Assignment,Formative 2,6%,9 Mar 2024,4 - 6 hours,Geosciences Academic Operations
3,GEOS3101,2024-S1C-ND-CC,Small continuous assessment,Summative 1,14%,1 Apr 2024,1.5 hours - outside normal contact hours,Geosciences Academic Operations
4,GEOS3101,2024-S1C-ND-CC,Assignment,Formative 3,6%,9 Apr 2024,4 - 6 hours,Geosciences Academic Operations
5,GEOS3101,2024-S1C-ND-CC,Small continuous assessment,Summative 2,14%,2 May 2024,1.5 hours - outside normal contact hours,Geosciences Academic Operations
6,GEOS3101,2024-S1C-ND-CC,Assignment,Formative 4,6%,3 May 2024,4 - 6 hours,Geosciences Academic Operations
7,GEOS3101,2024-S1C-ND-CC,Assignment,Six quizzes,6%,7 May 2024,~ 1 hour each.,Geosciences Academic Operations
8,GEOS3101,2024-S1C-ND-CC,Small continuous assessment,Summative 3,14%,3 May 2024,1.5 hours - outside normal contact hours,Geosciences Academic Operations
9,GEOS3101,2024-S1C-ND-CC,Assignment,Formative 5,6%,4 May 2024,4 - 6 hours,Geosciences Academic Operations
0,GEOS3801,2024-S1C-ND-CC,Assignment,South Coast Excursion Field Report,22%,5 Apr 2024,6 - 8 pages,Geosciences Academic Operations
1,GEOS3801,2024-S1C-ND-CC,Assignment,Formative 1,6%,8 Mar 2024,4 - 6 hours,Geosciences Academic Operations
2,GEOS3801,2024-S1C-ND-CC,Assignment,Formative 2,6%,9 Mar 2024,4 - 6 hours,Geosciences Academic Operations
3,GEOS3801,2024-S1C-ND-CC,Small continuous assessment,Summative 1,14%,1 Apr 2024,1.5 hours outside normal classes,Geosciences Academic Operations
4,GEOS3801,2024-S1C-ND-CC,Assignment,Formative 3,6%,9 Apr 2024,4 - 6 hours,Geosciences Academic Operations
5,GEOS3801,2024-S1C-ND-CC,Small continuous assessment,Summative 2,14%,2 May 2024,1.5 hours outside normal classes,Geosciences Academic Operations
6,GEOS3801,2024-S1C-ND-CC,Assignment,Formative 4,6%,3 May 2024,4 - 6 hours,Geosciences Academic Operations
7,GEOS3801,2024-S1C-ND-CC,Assignment,Six short essays,6%,7 May 2024,~1 hour each,Geosciences Academic Operations
8,GEOS3801,2024-S1C-ND-CC,Small continuous assessment,Summative 3,14%,3 May 2024,1.5 hours outside normal classes,Geosciences Academic Operations
9,GEOS3801,2024-S1C-ND-CC,Assignment,Formative 5,6%,4 May 2024,4 - 6 hours,Geosciences Academic Operations
0,GRMN1001,2024-S1C-ND-CC,Online task,Early Feedback Task,0%,Week 03,N/A,Germanic Studies
1,GRMN1001,2024-S1C-ND-CC,Small test,Mid-Semester Test,25%,Week 07,1000 word equivalent,Germanic Studies
2,GRMN1001,2024-S1C-ND-CC,Presentation,Speaking Test,20%,Week 12,750 word equivalent,Germanic Studies
3,GRMN1001,2024-S1C-ND-CC,Small test,Final Test,40%,Week 13,2000 word equivalent,Germanic Studies
4,GRMN1001,2024-S1C-ND-CC,Online task,Online quizzes,15%,Weekly,750 word equivalent,Germanic Studies
0,GRMN2003,2024-S1C-ND-CC,Presentation,Presentation,15%,Multiple weeks,750 words,Germanic Studies
1,GRMN2003,2024-S1C-ND-CC,Small test,"Grammar, listening and reading test",20%,Week 06,1000 wds,Germanic Studies
2,GRMN2003,2024-S1C-ND-CC,Small test,"Grammar, reading and writing test",50%,Week 13,2000wds,Germanic Studies
3,GRMN2003,2024-S1C-ND-CC,Online task,Weekly online homework exercises,15%,Weekly,750 words,Germanic Studies
0,GRMN3005,2024-S1C-ND-CC,Small test,Mid-Semester Test,20%,Week 07,1000 word equivalent,Germanic Studies
1,GRMN3005,2024-S1C-ND-CC,Presentation,Tutorial Presentation,20%,Week 12,750 word equivalent,Germanic Studies
2,GRMN3005,2024-S1C-ND-CC,Small test,Final Test,45%,Week 13,2000 word equivalent,Germanic Studies
3,GRMN3005,2024-S1C-ND-CC,Online task,Weekly quizzes,15%,Weekly,750 word equivalent,Germanic Studies
0,GRMN3010,2024-S1C-ND-CC,Assignment,Commentary,35%,3 Jun 2024,1500 words,Germanic Studies
1,GRMN3010,2024-S1C-ND-CC,Assignment,Translation project,50%,3 Jun 2024,2500 words,Germanic Studies
2,GRMN3010,2024-S1C-ND-CC,Assignment,Bilingual glossary,15%,3 Jun 2024,500 words,Germanic Studies
0,HSBH1012,2024-S1C-ND-CC,Assignment,Portfolio Assessment,45%,3 Jun 2024,1400 words (+/-10%),Participation Sciences
1,HSBH1012,2024-S1C-ND-CC,Presentation,Group presentation + individual reflection,30%,Multiple weeks,See Canvas for details,Participation Sciences
2,HSBH1012,2024-S1C-ND-CC,Small test,Health Quiz,0%,8 Mar 2024,"10-questions, 1 hour",Participation Sciences
3,HSBH1012,2024-S1C-ND-CC,Skills-based evaluation,IPL Introductory Workshop,0%,Week 03,2 hours (plus written activities).,Participation Sciences
4,HSBH1012,2024-S1C-ND-CC,Assignment,Short answer question,25%,2 Apr 2024,750 words,Participation Sciences
0,FMHU2000,2024-S1C-ND-CC,Presentation,Results and discussion presentation,25%,Multiple weeks,7 minutes - in Week 10 or 11,Participation Sciences
1,FMHU2000,2024-S1C-ND-CC,Participation,Tutorial participation,10%,Multiple weeks,Weekly 1 hour tutorials,Participation Sciences
2,FMHU2000,2024-S1C-ND-CC,Assignment,Literature review,25%,5 Mar 2024,750 words,Participation Sciences
3,FMHU2000,2024-S1C-ND-CC,Assignment,Research proposal,40%,4 May 2024,1500 words,Participation Sciences
0,FMHU3001,2024-S1C-ND-CC,,Final exam,45%,Formal exam period,2 hours,Participation Sciences
1,FMHU3001,2024-S1C-ND-CC,Small continuous assessment,Mini quizzes,11%,8 Mar 2024,Multiple,Participation Sciences
2,FMHU3001,2024-S1C-ND-CC,Presentation,Research proposal and questions,8%,9 Mar 2024,8 min + 7 min for questions; submission,Participation Sciences
3,FMHU3001,2024-S1C-ND-CC,Online task,Mid-semester quiz,20%,9 Apr 2024,"Approx. 25 questions, 50 min",Participation Sciences
4,FMHU3001,2024-S1C-ND-CC,Presentation,Survey results,8%,3 Apr 2024,8 min + 7 min for questions; submission,Participation Sciences
5,FMHU3001,2024-S1C-ND-CC,Presentation,Interpretation and discussion of study results,8%,4 May 2024,8 min + 7 min discussion; submission,Participation Sciences
0,HSBH3004,2024-S1C-ND-CC,,Midsemester in-class test,25%,2 Mar 2024,50 minutes,Participation Sciences
1,HSBH3004,2024-S1C-ND-CC,Assignment,Research project,40%,4 May 2024,2000 words solo 3000 pair 750 multimedia,Participation Sciences
2,HSBH3004,2024-S1C-ND-CC,Presentation,Team debate and 1000-word summary report,25%,4 May 2024,up to 40 mins,Participation Sciences
3,HSBH3004,2024-S1C-ND-CC,Participation,Weekly quiz and workshop participation,10%,Weekly,"Weekly, weeks 1-13",Participation Sciences
0,HSBH3011,2024-S1C-OL-CC,Assignment,Individual report,45%,3 Jun 2024,1500 words,Participation Sciences
1,HSBH3011,2024-S1C-OL-CC,Assignment,Group project,35%,Multiple weeks,"Multimedia task, individual reflection",Participation Sciences
2,HSBH3011,2024-S1C-OL-CC,Participation,Tutorial and discussion board participation,20%,Weekly,Weekly participation Weeks 1-13,Participation Sciences
0,HSBH3022,2024-S1C-ND-CC,Assignment,Essay,40%,1 Apr 2024,1500 words,Participation Sciences
1,HSBH3022,2024-S1C-ND-CC,Presentation,Action plan presentation,10%,0 May 2024,15 minutes,Participation Sciences
2,HSBH3022,2024-S1C-ND-CC,Assignment,Health promotion project proposal,50%,6 May 2024,2000 words,Participation Sciences
0,HSBH3001,2024-S1C-ND-CC,Assignment,Health Promotion Team Project (1) Work in Progress Plan,10%,9 Mar 2024,No more than 3 A4 pages.,Participation Sciences
1,HSBH3001,2024-S1C-ND-CC,,Mid semester exam,30%,2 Apr 2024,1 hour,Participation Sciences
2,HSBH3001,2024-S1C-ND-CC,Assignment,Health Promotion Project (2) Creative or performing arts,15%,7 May 2024,negotiated by UOS coord and student,Participation Sciences
3,HSBH3001,2024-S1C-ND-CC,Assignment,Health Promotion project (3) Written explanation of creative work submission,15%,7 May 2024,Between 250 and 500 words.,Participation Sciences
4,HSBH3001,2024-S1C-ND-CC,Presentation,In class oral presentation,20%,Week 13,10 minutes,Participation Sciences
5,HSBH3001,2024-S1C-ND-CC,Participation,Peer feedback of student presentations,10%,Week 13,2 hours,Participation Sciences
0,HSBH3015,2024-S1C-OL-CC,Small continuous assessment,Tutorial Activity,30%,Multiple weeks,Variable,Participation Sciences
1,HSBH3015,2024-S1C-OL-CC,Assignment,Short written essay 1,25%,1 Apr 2024,900 words (+ or - 10%),Participation Sciences
2,HSBH3015,2024-S1C-OL-CC,Assignment,Short written essay 2,45%,6 May 2024,900 words (+ or - 10%),Participation Sciences
0,BIOS1163,2024-S1C-ND-CC,,End-semester exam,40%,Formal exam period,2 hours,Department of Medical Sciences
1,BIOS1163,2024-S1C-ND-CC,Online task,Week 3 quiz - MCQ and SAQs,0%,8 Mar 2024,15 minutes,Department of Medical Sciences
2,BIOS1163,2024-S1C-ND-CC,Online task,Pre-In-Semester test,10%,4 Mar 2024,30 minutes,Department of Medical Sciences
3,BIOS1163,2024-S1C-ND-CC,,In-semester test,30%,1 Apr 2024,1 hour,Department of Medical Sciences
4,BIOS1163,2024-S1C-ND-CC,Small continuous assessment,Self-tests,10%,Weekly,10 minutes each,Department of Medical Sciences
5,BIOS1163,2024-S1C-ND-CC,Small continuous assessment,Practical/Tutorial worksheet,10%,Weekly,10-minutes,Department of Medical Sciences
0,CSCD1034,2024-S1C-ND-CC,,Final Exam,30%,Formal exam period,1 hour,Communication Sciences
1,CSCD1034,2024-S1C-ND-CC,Online task,A1 Early Feedback task Phonetics quiz,10%,8 Mar 2024,20 minutes,Communication Sciences
2,CSCD1034,2024-S1C-ND-CC,Skills-based evaluation,Phonetics Quiz,10%,2 Mar 2024,20 minutes,Communication Sciences
3,CSCD1034,2024-S1C-ND-CC,Skills-based evaluation,Grammar analysis,25%,5 Apr 2024,30 minutes,Communication Sciences
4,CSCD1034,2024-S1C-ND-CC,Skills-based evaluation,Phonemic transcription,25%,7 May 2024,20 minutes,Communication Sciences
0,BIOS2166,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,80 minutes,Department of Medical Sciences
1,BIOS2166,2024-S1C-ND-CC,Online task,Tutorial Quiz,12%,Multiple weeks,4 x 15 Minutes,Department of Medical Sciences
2,BIOS2166,2024-S1C-ND-CC,,In-semester test,35%,6 Apr 2024,1 hour,Department of Medical Sciences
3,BIOS2166,2024-S1C-ND-CC,Online task,Weekly quiz,13%,Weekly,Variable,Department of Medical Sciences
0,BIOS3166,2024-S1C-ND-CC,,Final exam,35%,Formal exam period,1.5 hours,Department of Medical Sciences
1,BIOS3166,2024-S1C-ND-CC,Small continuous assessment,Research Article Summaries,5%,Multiple weeks,Various,Department of Medical Sciences
2,BIOS3166,2024-S1C-ND-CC,,In-semester test,25%,6 Apr 2024,1 hour,Department of Medical Sciences
3,BIOS3166,2024-S1C-ND-CC,Presentation,Presentation,15%,Week 10,15 minutes,Department of Medical Sciences
4,BIOS3166,2024-S1C-ND-CC,Online task,Weekly quizzes,10%,Weekly,Variable,Department of Medical Sciences
5,BIOS3166,2024-S1C-ND-CC,Online task,Weekly question submission,10%,Weekly,Variable,Department of Medical Sciences
0,HBRW1011,2024-S1C-ND-CC,Small test,semester in-class assessment,25%,Formal exam period,2000 words,"Hebrew, Biblical and Jewish Studies"
1,HBRW1011,2024-S1C-ND-CC,Tutorial quiz,quize,10%,Multiple weeks,2X 50 word quizes,"Hebrew, Biblical and Jewish Studies"
2,HBRW1011,2024-S1C-ND-CC,Assignment,6x writing tasks,20%,Multiple weeks,600 words total,"Hebrew, Biblical and Jewish Studies"
3,HBRW1011,2024-S1C-ND-CC,Participation,Particpation,10%,Ongoing,n/a,"Hebrew, Biblical and Jewish Studies"
4,HBRW1011,2024-S1C-ND-CC,Skills-based evaluation,early feedback task’,0%,Week 03,50 words,"Hebrew, Biblical and Jewish Studies"
5,HBRW1011,2024-S1C-ND-CC,Small test,Mid semester in-class test,25%,Week 07,1600 words,"Hebrew, Biblical and Jewish Studies"
6,HBRW1011,2024-S1C-ND-CC,Presentation,oral presentation,10%,Week 12,200 words,"Hebrew, Biblical and Jewish Studies"
0,HBRW2603,2024-S1C-ND-CC,Tutorial quiz,Quize,10%,Multiple weeks,2X 50,"Hebrew, Biblical and Jewish Studies"
1,HBRW2603,2024-S1C-ND-CC,Assignment,Assignments,20%,Multiple weeks,6 x 150 words,"Hebrew, Biblical and Jewish Studies"
2,HBRW2603,2024-S1C-ND-CC,Participation,Participation,10%,Ongoing,n/a,"Hebrew, Biblical and Jewish Studies"
3,HBRW2603,2024-S1C-ND-CC,Small test,Mid semester in-class assessment,25%,Week 07,1300 words,"Hebrew, Biblical and Jewish Studies"
4,HBRW2603,2024-S1C-ND-CC,Presentation,Oral presentation,10%,Week 12,200 words,"Hebrew, Biblical and Jewish Studies"
5,HBRW2603,2024-S1C-ND-CC,Small test,final in-class test,25%,Week 13,2000 words,"Hebrew, Biblical and Jewish Studies"
0,BBCL2601,2024-S1C-ND-CC,Participation,Class Participation,10%,Ongoing,Ongoing class participation,"Hebrew, Biblical and Jewish Studies"
1,BBCL2601,2024-S1C-ND-CC,Small test,Biblical text in-class test,20%,Week 13,1hr,"Hebrew, Biblical and Jewish Studies"
2,BBCL2601,2024-S1C-ND-CC,Small test,Grammar in-class test,20%,Week 13,1hr,"Hebrew, Biblical and Jewish Studies"
3,BBCL2601,2024-S1C-ND-CC,Small continuous assessment,Grammar short quizzes,25%,Weekly,10x125wd,"Hebrew, Biblical and Jewish Studies"
4,BBCL2601,2024-S1C-ND-CC,Small continuous assessment,Bible text short quizzes,25%,Weekly,10x125wd,"Hebrew, Biblical and Jewish Studies"
0,BBCL3603,2024-S1C-ND-CC,Attendance,Class participation,10%,Ongoing,n/a,"Hebrew, Biblical and Jewish Studies"
1,BBCL3603,2024-S1C-ND-CC,Attendance,In-class test,30%,Week 13,1500wd,"Hebrew, Biblical and Jewish Studies"
2,BBCL3603,2024-S1C-ND-CC,Assignment,Research essay,30%,Week 13,2000wd,"Hebrew, Biblical and Jewish Studies"
3,BBCL3603,2024-S1C-ND-CC,Attendance,Weekly short quizzes,30%,Weekly,10x100wd,"Hebrew, Biblical and Jewish Studies"
0,HBRW3610,2024-S1C-ND-CC,Assignment,Assignments,25%,Multiple weeks,6 x 175 words,"Hebrew, Biblical and Jewish Studies"
1,HBRW3610,2024-S1C-ND-CC,Participation,Participation,10%,Ongoing,n/a,"Hebrew, Biblical and Jewish Studies"
2,HBRW3610,2024-S1C-ND-CC,Small test,Mid semester in-class assessment,25%,Week 07,1250 words,"Hebrew, Biblical and Jewish Studies"
3,HBRW3610,2024-S1C-ND-CC,Presentation,Oral presentation,15%,Week 12,200 words,"Hebrew, Biblical and Jewish Studies"
4,HBRW3610,2024-S1C-ND-CC,Small test,Semester in-ckass Assessment,25%,Week 13,2000 words,"Hebrew, Biblical and Jewish Studies"
0,HBRW3612,2024-S1C-ND-CC,Presentation,oral presentations,15%,Multiple weeks,2X200 words,"Hebrew, Biblical and Jewish Studies"
1,HBRW3612,2024-S1C-ND-CC,Assignment,Assignments,25%,Multiple weeks,4 x 225 words,"Hebrew, Biblical and Jewish Studies"
2,HBRW3612,2024-S1C-ND-CC,Participation,Participation,10%,Ongoing,ongoing,"Hebrew, Biblical and Jewish Studies"
3,HBRW3612,2024-S1C-ND-CC,Small test,Semester in-class test,25%,Week 13,2000 words,"Hebrew, Biblical and Jewish Studies"
4,HBRW3612,2024-S1C-ND-CC,Assignment,major writing task,25%,Week 13,1200 words,"Hebrew, Biblical and Jewish Studies"
0,JCTC3602,2024-S1C-ND-CC,Participation,Class Participation,10%,1 May 2024,Ongoing,"Hebrew, Biblical and Jewish Studies"
1,JCTC3602,2024-S1C-ND-CC,Assignment,Research proposal/annotated bibliography,25%,0 Mar 2024,"1,000 words","Hebrew, Biblical and Jewish Studies"
2,JCTC3602,2024-S1C-ND-CC,Assignment,Research essay,50%,8 May 2024,"3,000 words","Hebrew, Biblical and Jewish Studies"
3,JCTC3602,2024-S1C-ND-CC,Assignment,Discussion board activity,15%,2 May 2024,500 words (2X250-word discussion posts),"Hebrew, Biblical and Jewish Studies"
0,EXSS2040,2024-S1C-ND-CC,Assignment,Body Composition Profiling and Feedback,40%,3 Jun 2024,5-10 pages,Movement Sciences
1,EXSS2040,2024-S1C-ND-CC,Online task,Online Quizzes,40%,Multiple weeks,8-10 Questions,Movement Sciences
2,EXSS2040,2024-S1C-ND-CC,Skills-based evaluation,Practical Exam Part A,5%,Week 07,5-10 minutes,Movement Sciences
3,EXSS2040,2024-S1C-ND-CC,Skills-based evaluation,Practical Exam Part B,15%,Week 09,20 - 30 minutes,Movement Sciences
0,EXSS2037,2024-S1C-ND-CC,Assignment,Program Evaluation Report A,30%,3 Jun 2024,6-pages,Movement Sciences
1,EXSS2037,2024-S1C-ND-CC,Assignment,Program Evaluation B,10%,3 Jun 2024,2-pages,Movement Sciences
2,EXSS2037,2024-S1C-ND-CC,Online task,Online Quizzes,20%,Multiple weeks,10 multiple-choice questions per quiz,Movement Sciences
3,EXSS2037,2024-S1C-ND-CC,Skills-based evaluation,Resistance Exercise Instruction,15%,Multiple weeks,15 minutes,Movement Sciences
4,EXSS2037,2024-S1C-ND-CC,Presentation,Assessment Data Presentation,25%,8 Mar 2024,8-minutes,Movement Sciences
0,EXSS3064,2024-S1C-ND-CC,Online task,Online Canvas Lecture Quizzes,15%,Multiple weeks,Multiple questions / 10 mins per quiz,Movement Sciences
1,EXSS3064,2024-S1C-ND-CC,,Mid-Semester Exam,30%,1 Apr 2024,1 hour,Movement Sciences
2,EXSS3064,2024-S1C-ND-CC,Assignment,Athlete Development Issue & Problem-Solving Proposal,55%,4 May 2024,3/4000 words min (across mult. weeks),Movement Sciences
